title;description;url;image;url2;exe
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/ten87tak/my-todo-webapp;1.png;https://ten87tak-my-todo-webapp-web-5micem.streamlit.app/;True
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/ten87tak/my-portfolio-website;2.png;https://ten87tak-my-portfolio-website-home-phue3k.streamlit.app/;False
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/ten87tak/my-PDF-generator;3.png;CLI only;False
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/ten87tak/my-excel_pdf-invoice-generator;4.png;CLI only;False
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;None;5.png;None;False
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;None;6.png;None;False
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;None;7.png;None;False
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;None;8.png;None;False
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;None;9.png;None;False
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;None;10.png;None;False
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;None;11.png;None;False
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;None;12.png;None;False
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;None;13.png;None;False
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;None;14.png;None;False
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;None;15.png;None;False
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;None;16.png;None;False
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;None;17.png;None;False
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;None;18.png;None;False
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;None;19.png;None;False
Online Store;A Django online store app where users can place orders and sellers can manage them.;None;20.png;None;False
